,Country Code,Year,Control of Corruption: Estimate,Control of Corruption: Number of Sources,Control of Corruption: Percentile Rank,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval","Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",Control of Corruption: Standard Error,Government Effectiveness: Estimate,Government Effectiveness: Number of Sources,Government Effectiveness: Percentile Rank,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval","Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",Government Effectiveness: Standard Error,Political Stability and Absence of Violence/Terrorism: Estimate,Political Stability and Absence of Violence/Terrorism: Number of Sources,Political Stability and Absence of Violence/Terrorism: Percentile Rank,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval","Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",Political Stability and Absence of Violence/Terrorism: Standard Error,Regulatory Quality: Estimate,Regulatory Quality: Number of Sources,Regulatory Quality: Percentile Rank,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval","Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",Regulatory Quality: Standard Error,Rule of Law: Estimate,Rule of Law: Number of Sources,Rule of Law: Percentile Rank,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval","Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",Rule of Law: Standard Error,Voice and Accountability: Estimate,Voice and Accountability: Number of Sources,Voice and Accountability: Percentile Rank,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",Voice and Accountability: Standard Error,Country Name,Forest area (% of land area),CO2 emissions,Capture fisheries production (metric tons),mineral_sum (metr. t)
0,AFG,1996,-1.291705,2,4.301075,0,27.41936,0.340507,-2.175167,1,0,0,1.639344,0.1876176,-2.414042,2,2.12766,0,6.914894,0.4753152,-2.09033,1,1.630435,0,5.978261,0.3863604,-1.788075,3,1.507538,0,12.56281,0.3505094,-1.90854,4,1,0,9.5,0.2614571,Afghanistan,2.06782464846981,1177.107,1300.0,
1,ALB,1996,-0.8939035,3,19.35484,2.688172,43.01075,0.315914,-0.6885879,2,25.68306,15.84699,38.25137,0.1816614,-0.3338114,3,35.6383,17.02128,57.44681,0.4219024,-0.4744017,4,30.43478,15.76087,57.6087,0.3273613,-0.6844818,6,28.64322,16.58291,42.21106,0.2466153,-0.6482978,5,29.5,16.5,40.5,0.2254109,Albania,28.361312977589,2016.85,2126.2,
2,DZA,1996,-0.5667409,4,33.33333,16.66667,52.68817,0.2620766,-1.088766,3,13.11475,6.010929,21.85792,0.1739037,-1.780031,4,5.319149,2.12766,12.23404,0.3738571,-0.9074373,4,20.1087,7.065217,36.41304,0.3117465,-1.218195,6,12.56281,4.522613,22.11055,0.2124291,-1.16629,6,14.5,8,23,0.2088098,Algeria,0.677739783171916,97098.493,81995.8,
3,ASM,1996,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,American Samoa,90.95000267028799,,220.0,
4,AND,1996,1.318143,1,87.09677,72.04301,96.77419,0.4808887,1.414038,1,88.52459,83.60656,91.25683,0.1876176,1.170157,1,89.3617,52.12766,100,0.6135068,1.26644,1,88.04348,69.56522,98.91304,0.3863604,1.158363,2,86.43216,63.31658,96.98492,0.3888651,1.563217,3,98.5,81.5,100,0.2916907,Andorra,34.0425531914894,454.708,0.0,
5,AGO,1996,-1.167702,4,9.67742,0.5376344,27.41936,0.2620766,-0.85994,3,21.31148,12.02186,33.33333,0.1739037,-2.057286,4,3.723404,0,9.042553,0.3738571,-1.415345,4,7.608696,1.630435,20.1087,0.3117465,-1.630469,6,3.517588,0,10.05025,0.2124291,-1.578164,6,6,0.5,13,0.2088098,Angola,48.309295916218794,10458.284,137815.0,
6,AIA,1996,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,
7,ATG,1996,0.8698972,1,80.10753,59.13979,91.39785,0.4808887,0.6449225,1,74.86339,62.29508,82.51366,0.1876176,0.7184954,1,70.74468,37.23404,100,0.6135068,0.7869012,1,73.91304,61.41304,90.21739,0.3863604,1.050845,2,82.91457,62.31156,94.97488,0.3888651,0.3335324,3,61.5,45,71.5,0.2916907,Antigua and Barbuda,22.999999739906997,293.36,1434.0,
8,ARG,1996,-0.1013172,6,53.76344,38.70968,62.90322,0.2103251,0.16569,6,60.10929,54.09836,65.57377,0.1679885,0.1129859,4,51.06383,28.7234,71.2766,0.3738571,0.5180674,6,66.84782,57.6087,78.26087,0.2770943,0.0755526,9,54.27136,43.21608,62.31156,0.190395,0.3919034,8,62.5,53,69,0.1962962,Argentina,12.0704936323625,135000.605,1290065.0,
9,ARM,1996,-0.4730513,2,38.17204,15.05376,59.13979,0.340507,-0.3805645,1,41.53006,25.68306,55.73771,0.1876176,-0.3646759,2,34.04255,13.29787,60.10638,0.4753152,-0.2827645,3,44.02174,22.28261,62.5,0.3374676,-0.4690985,5,37.68844,21.10553,48.24121,0.2578073,-0.5699091,4,33,16.5,45,0.2614571,Armenia,11.724621980785699,2563.233,580.0,
10,ABW,1996,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Aruba,2.33333326048321,726.066,160.0,
11,AUS,1996,1.877356,6,93.54839,90.32258,99.46236,0.2103251,1.800565,5,95.62842,88.52459,100,0.1682592,1.396474,4,96.2766,72.87234,100,0.3738571,1.367597,6,90.21739,77.17391,97.82609,0.2770943,1.713399,8,96.48241,89.94975,100,0.1942361,1.440203,7,93,82.5,100,0.2080557,Australia,16.755528943155,302164.467,220000.0,
12,AUT,1996,1.732164,6,92.47312,89.24731,96.23656,0.2103251,1.73165,5,92.89617,88.52459,100,0.1682592,1.410498,4,96.80851,72.87234,100,0.3738571,1.658712,6,96.19566,84.23913,99.45652,0.2770943,1.808153,8,97.48743,91.9598,100,0.1942361,1.44895,7,93.5,83.5,100,0.2080557,Austria,46.1758289073853,63332.75700000001,450.0,
13,AZE,1996,-1.445619,3,2.688172,0,17.2043,0.2756138,-0.9163896,2,18.57924,6.010929,31.69399,0.1791073,-0.8276529,3,21.2766,9.042553,42.02128,0.4095134,-1.196309,4,11.41304,3.804348,23.91304,0.3050529,-1.201162,6,13.06533,5.025126,21.10553,0.1958726,-1.121031,5,15.5,8,25,0.2364767,Azerbaijan,10.380090216174,31257.508,6702.0,
14,BHS,1996,1.15681,2,83.87096,69.89247,93.01075,0.418145,1.373242,2,87.43169,83.60656,90.71038,0.1816614,1.070221,3,85.6383,59.57447,100,0.4219024,0.9677236,3,78.26087,64.67391,93.47826,0.3465976,1.146361,4,85.92965,67.8392,94.97488,0.322505,1.102839,4,83.5,68.5,94.5,0.2439327,"Bahamas, The",51.4485514485514,1730.8239999999996,14099.14,
15,BHR,1996,0.3286887,3,63.97849,50.53764,77.41936,0.3122124,0.7766396,3,77.04918,67.75956,83.60656,0.1739037,-0.3077276,4,36.70213,20.74468,57.44681,0.3738571,0.7904871,4,74.45652,62.5,88.58696,0.3117465,-0.0101163,5,50.75377,39.19598,62.31156,0.2201468,-0.7187834,5,25.5,16,37.5,0.2232741,Bahrain,0.436619721667868,15621.42,12940.0,
16,BGD,1996,-0.9696822,4,17.74194,2.688172,34.94624,0.2620766,-0.6878501,3,27.3224,15.84699,38.25137,0.1739037,-0.5461782,4,26.59575,12.23404,49.46809,0.3738571,-0.9298178,4,17.93478,5.978261,33.69565,0.3117465,-0.9340237,6,20.1005,10.05025,32.1608,0.2124291,-0.0584284,6,50,37,59,0.2088098,Bangladesh,11.3574558224941,21679.304,814787.0,
17,BRB,1996,1.542726,2,90.86021,81.18279,96.77419,0.340507,1.414038,1,88.52459,83.60656,91.25683,0.1876176,1.04893,2,84.57447,56.91489,100,0.4753152,1.288828,2,88.58696,71.73913,98.36957,0.3586605,1.046773,4,82.41206,63.8191,92.96482,0.3203482,1.342969,4,90.5,74,100,0.2614571,Barbados,14.651163234267099,825.075,3523.0,
18,BLR,1996,-0.3896092,2,42.47312,17.74194,60.75269,0.340507,-0.3805645,1,41.53006,25.68306,55.73771,0.1876176,0.0936307,2,50,22.87234,74.46809,0.4753152,-1.093997,3,14.13043,4.347826,26.63043,0.3374676,-0.798984,5,24.1206,12.0603,39.19598,0.2578073,-0.8197726,4,23.5,13,37,0.2614571,Belarus,39.8136452607351,60164.46900000001,821.0,
19,BEL,1996,1.359654,6,88.70968,81.18279,91.39785,0.2103251,1.711544,5,91.25683,88.52459,99.45355,0.1682592,1.288753,4,92.02128,68.08511,100,0.3738571,1.214232,6,84.78261,72.28261,96.19566,0.2770943,1.366947,8,89.94975,82.41206,94.97488,0.1942361,1.4333,7,92.5,81.5,100,0.2080557,Belgium,,118059.065,30823.0,
20,BLZ,1996,-0.0265951,1,56.45161,25.26882,76.34409,0.4808887,0.3885508,1,64.48087,57.9235,75.40984,0.1876176,0.558368,2,64.3617,38.29787,94.14893,0.4753152,0.1430119,2,61.41304,30.43478,72.28261,0.3586605,0.0846815,3,54.77387,36.1809,68.34171,0.3488346,0.8242216,3,72,62,88.5,0.2916907,Belize,66.7246817288198,308.028,12168.0,
